Product Category,Correlation,P-Value
'Books',-0.008643142259138143,0.03340847837211446
'Camera',0.006034835674435312,0.6427319046980167
'Digital_Ebook_Purchase',-0.041171072750298035,0.6006707413949594
'Electronics',0.1324844682210965,0.003500276441407264
'Health & Personal Care',0.03571214116894457,0.43262992762138847
'Mobile_Electronics',0.1185339763778345,0.4976539337379964
'Music',-0.24892173843589496,2.5316384553662983e-07
'PC',0.014821418724383681,0.07312491834465133
'Sports',-0.01573226908729947,0.5513852770754417
'Tools',0.11163379078944967,0.10019282528574261
'Toys',-0.05278897729795013,0.0013333375708969339
'Video DVD',-0.13490437152816734,8.152282273418942e-31
'Video Games',0.05602318292112653,0.060662245719838234
'Watches',-0.02403760596154363,0.5363591086952968
'Wireless',-0.01828921361279618,0.48484628205414804
